# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: ferr, datatype: float64}
# schema: astropy-2.0
time flux ferr
57786.825000007964 9.492207691329624e-05 0.0024997396693530118
57786.87500000797 -7.426061744600674e-05 0.0029596863113619744
57786.92500000797 -0.003768077280307961 0.003948632557695117
57786.97500000797 -0.005697074951024186 0.005680698721142863
57788.82500000808 -0.0010567439662048466 0.001365296816854068
57788.87500000808 -0.0002790731122540524 0.0026598931498757854
57788.92500000809 -0.0031780525777988125 0.0021432475542613803
57788.97500000809 -0.005091699345991384 0.00209751948678947
57789.02500000809 -0.0065389719082173435 0.00307019522495764
57789.075000008095 -0.003834948582024219 0.0024980819989237403
57789.82500000814 -0.0019792992279883317 0.0019026697144032872
57789.87500000814 -0.0023772993004232733 0.002362178997335324
57789.925000008145 -0.0021825879728435416 0.0007826903969588049
57790.8250000082 -0.0018990571309538881 0.00057084138081363
57790.8750000082 -0.001532887261697803 0.0014111040079280615
57790.9250000082 -0.0015470095269755624 0.0024222313150026793
57790.975000008206 -0.00125815688469379 0.0017404570245510786
57791.02500000821 0.0017332013748974798 0.0023813345516710428
57791.07500000821 0.002385085177166365 0.005623160979494421
57791.825000008255 -0.0012937398411492663 0.0024841144524409132
57791.87500000826 -0.0011180633653504314 0.002659852381025778
57791.92500000826 0.0004950813172215034 0.0028391201268481085
57791.975000008264 -0.0031712940562235855 0.002524423373011972
57792.02500000827 -0.00020187958084242182 0.004447833814024878
57792.07500000827 -0.0001290725922461318 0.004591453287786392
57792.77500000831 -0.0027401408734651356 0.001851726342777249
57792.82500000831 0.00043545699014211004 0.0019710037556096016
57792.87500000832 0.00019184378574089265 0.0018780486621712768
57792.92500000832 -0.0008346153274578344 0.0028180955401509414
57792.97500000832 -7.439057400184598e-05 0.0029839790137035672
57793.82500000837 -0.000935909960046071 0.002493170049818489
57793.875000008375 -0.002131800802139527 0.0012119123512480887
57793.92500000838 -0.0009792192756145623 0.0032233524890588503
57793.97500000838 -0.0013982728245881299 0.003163902763665107
57794.02500000838 -0.003481136371470124 0.004120120118910676
57794.075000008386 -0.002648454629411212 0.0034151829323732347
57799.92500000873 -0.000880579958729457 0.003381330727542728
57799.97500000873 -0.0017227983923019082 0.004258774262888436
57800.02500000873 0.0007903840689792123 0.002944445027310642
57800.075000008736 -0.003351081535024471 0.0020420732912325677
57800.775000008776 2.8507503118224697e-05 0.0005828438388760175
57800.82500000878 0.0007883158577507432 0.0014899458620081562
57800.87500000878 -0.0029477758571190044 0.0036794024789224937
57800.925000008785 -0.001893305074817997 0.0030983241412386115
57801.92500000884 0.0005217406199568564 0.0035844021727230576
57801.975000008846 0.000724543727836678 0.005613391831864954
57802.77500000889 -0.00347176216639114 0.0025119379953168737
57802.825000008896 -0.0034456306300699206 0.002959749908868434
57803.77500000895 -0.002977277092063385 0.0018423657221622951
57803.825000008954 -0.001796695773143453 0.004598484329629541
57804.77500000901 -0.002799875166519139 0.00224982930903931
57804.82500000901 -0.003068462820234588 0.001510511918731619
57804.875000009015 -0.003814186398598437 0.003147573730004527
57807.82500000919 -0.0027084863459697073 0.004221405457968727
57807.87500000919 -0.004122982427530587 0.003686917911206254
57807.92500000919 -0.0024889362719776255 0.002190606572549281
57807.975000009195 -0.003135444301048166 0.003875479553573093
57808.0250000092 -0.002084293333344137 0.004289885917400188
57808.77500000924 -0.0021546441082469134 0.0005162110498188369
57808.825000009245 -0.0035480025767159083 0.003735815398807133
57808.87500000925 -0.005288469407469775 0.001326386875548664
57808.92500000925 -0.0018165264518013292 0.0038307198847712756
57808.97500000925 -0.004472492110734242 0.003544368580221404
57809.02500000926 -0.003594581872195404 0.0035017298208758667
57809.07500000926 -0.004487406803889193 0.008449426701249428
57809.7750000093 -0.0035468443641464287 0.002305058985771443
57809.8250000093 -0.0019678454496432213 0.003449194602766828
57809.875000009306 -0.006551161645308932 0.0037034485116548546
57809.92500000931 -0.005277538519823052 0.0036566108094750367
57809.97500000931 -0.005342277573518041 0.004617496175035103
57811.77500000942 -0.0032911522899269907 0.002783576634966593
57811.82500000942 -0.0053338654015012525 0.0011275158549490713
57811.87500000942 -0.0043824838787952436 0.0029087776133276595
57811.925000009425 -0.0026042038273622527 0.0019355288440190525
57811.97500000943 -0.002303589651008599 0.00319885235598942
57812.02500000943 -0.001441424707823943 0.002890159450068168
57812.92500000948 -0.0016491010285925528 0.006685159409106041
57812.97500000949 -7.547432845818787e-05 0.004772249717337871
57813.77500000953 0.002284157552877263 0.002212599870762869
57813.825000009536 -0.0005679456078642889 0.0013460587256412077
57813.87500000954 -0.002853756559190982 0.003321034662966583
57813.92500000954 -0.0018583307611398845 0.0036716744179552865
57813.975000009545 0.00156055734263426 0.005254863504369796
57814.02500000955 0.0004965196046062191 0.005293680543533525
57814.77500000959 0.0038382675139107536 0.0050993089423616005
57814.825000009594 0.001432040242460448 0.001953351067559011
57814.8750000096 -0.001068701941365162 0.0024134243631646598
57814.9250000096 -0.002764532849021379 0.002668772194196538
57814.9750000096 0.002816013008808712 0.005618061091527547
57815.025000009606 0.001890212299992644 0.0014755007642103504
57815.875000009655 -0.00019277794622925005 0.0025966797162388614
57815.92500000966 -0.00043646444595655767 0.0019581920540636837
57815.97500000966 3.0126978059041853e-05 0.0038034554364142653
57816.025000009664 -0.0005883579666669994 0.0012063198600781762
57816.87500000971 -0.0010227037446161127 0.003095914723309312
57816.925000009716 0.00015714729350061547 0.0023616983491978644
57816.97500000972 0.0008282758170924387 0.0034046770753022233
