# Beta Pictoris, Visit 02 
# Analysis by Kevin Stevenson, 2017-06-19 
#          BJD             Flux        Error
2457800.559985 313635035.500878 17739.376298
2457800.563435 314151438.420695 17753.129365
2457800.566884 313424643.526817 17733.097922
2457800.570333 314220120.510275 17753.438621
2457800.573782 313860171.706715 17743.361563
2457800.577231 313818058.623919 17746.411613
2457800.580680 313782429.593779 17741.722536
2457800.584129 314165081.845325 17751.482149
2457800.587578 313671871.070254 17737.501907
2457800.591027 314552519.407000 17763.717583
2457800.624534 313847658.305331 17743.660232
2457800.627983 314659356.635332 17765.113177
2457800.631432 313780152.272823 17740.788307
2457800.634881 313822772.677233 17741.121273
2457800.638331 313363810.150234 17729.318383
2457800.641779 313850213.776278 17743.944842
2457800.645229 313972714.044581 17746.092996
2457800.648678 314883744.445047 17771.142879
2457800.652127 313941792.785046 17745.164795
2457800.655576 314079002.464881 17748.834664
