# Beta Pictoris, Visit 03 
# Analysis by Kevin Stevenson, 2017-06-17 
#          BJD             Flux        Error
2457921.429827 313661102.914672 17735.399380
2457921.433277 314217673.812660 17751.960620
2457921.436726 313491420.061659 17732.112176
2457921.440175 313405392.104440 17730.353733
2457921.443624 312748932.652650 17713.583386
2457921.447073 313814433.804025 17742.508151
2457921.450522 313824386.099476 17743.166312
2457921.453971 314095938.511541 17752.335259
2457921.457420 313532135.223090 17733.499737
2457921.460869 313472713.481270 17732.901836
2457921.485615 313381000.604340 17729.959621
2457921.489064 313879360.724104 17742.343177
2457921.492513 313492546.968253 17733.726381
2457921.495962 313629456.735220 17736.133868
2457921.499411 313169104.025766 17723.694463
2457921.502860 313805438.993601 17741.944740
2457921.506309 313657631.637773 17737.580181
2457921.509758 314187752.778174 17752.951205
2457921.513207 313264045.931440 17728.493236
2457921.516656 313128709.385982 17724.585430
