# Beta Pictoris, Visit 06 
# Analysis by Kevin Stevenson, 2017-10-11 
#          BJD             Flux        Error
2458035.337133 313165382.043663 17722.045015
2458035.340582 314044426.104397 17747.019246
2458035.344031 314115138.239707 17748.889695
2458035.347480 314103174.932923 17748.317553
2458035.350929 313075357.299522 17721.339996
2458035.354378 313017153.249575 17724.268406
2458035.357827 309742720.388151 17639.676222
2458035.361276 314786984.260008 17780.429980
2458035.364725 312190310.309353 17709.251186
2458035.368174 314287468.955565 17762.237051
