# Beta Pictoris, Visit 05 
# Analysis by Kevin Stevenson, 2017-10-08 
#          BJD             Flux        Error
2458028.181944 313647983.022940 17736.399392
2458028.185393 313844109.912152 17741.622357
2458028.188842 313448335.226591 17730.340224
2458028.192291 313921453.181366 17742.163083
2458028.195740 313573413.584973 17733.420751
2458028.199189 313973026.345317 17745.034868
2458028.202638 313684970.496627 17738.240866
2458028.206087 314029882.781302 17748.158354
2458028.209536 313638242.999465 17735.557046
2458028.212986 314183124.977715 17754.995085
