# Beta Pictoris, Visit 04 
# Analysis by Kevin Stevenson, 2017-08-02 
#          BJD             Flux        Error
2457967.983928 313415599.872733 17732.917031
2457967.987377 314010097.793219 17748.077098
2457967.990827 313057004.948949 17722.385831
2457967.994275 314088940.305224 17751.294483
2457967.997725 313815380.346319 17742.033031
2457968.001174 314432295.498020 17761.246506
2457968.004623 313629549.379700 17739.655941
2457968.008072 314191119.274145 17755.351555
2457968.011521 313314096.074898 17728.215628
2457968.014970 314033267.944882 17748.829054
2457968.047771 313701879.461401 17738.856072
2457968.051220 314180655.854530 17750.830007
2457968.054669 313415761.379631 17731.175559
2457968.058118 313969849.408640 17746.705433
2457968.061567 313143319.616444 17722.669255
2457968.065016 313926186.439713 17744.203910
2457968.068465 313670181.149929 17737.020764
2457968.071914 314223546.746935 17752.123954
2457968.075363 313611204.420741 17736.641554
2457968.078813 314169220.966956 17751.737035
